            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451553.100000000, A.D. 2000-Jan-09 14:24:00.0000,  7.553594821388011E-01, -8.772257576084587E-01, -2.975204575924417E-02,  1.516331721658317E-02,  7.525576052729661E-03, -3.600729272039326E-04,
2451553.200000000, A.D. 2000-Jan-09 16:48:00.0000,  7.568750918926475E-01, -8.764723727554097E-01, -2.978802469197334E-02,  1.514887575293414E-02,  7.542115571525496E-03, -3.595057188361597E-04,
2451553.300000000, A.D. 2000-Jan-09 19:12:00.0000,  7.583892568690919E-01, -8.757173355811217E-01, -2.982394690133316E-02,  1.513442168037601E-02,  7.558622481259728E-03, -3.589384601208947E-04,
2451553.400000000, A.D. 2000-Jan-09 21:36:00.0000,  7.599019758108027E-01, -8.749606493453665E-01, -2.985981238237964E-02,  1.511995507019504E-02,  7.575096804722966E-03, -3.583711528705618E-04,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000,  7.614132474675774E-01, -8.742023173056241E-01, -2.989562113034961E-02,  1.510547599348459E-02,  7.591538564824208E-03, -3.578037988909807E-04,
2451553.600000000, A.D. 2000-Jan-10 02:24:00.0000,  7.629230705963128E-01, -8.734423427170792E-01, -2.993137314066022E-02,  1.509098452114539E-02,  7.607947784589864E-03, -3.572363999813743E-04,
2451553.700000000, A.D. 2000-Jan-10 04:48:00.0000,  7.644314439609766E-01, -8.726807288326126E-01, -2.996706840890798E-02,  1.507648072388581E-02,  7.624324487162764E-03, -3.566689579343993E-04,
2451553.800000000, A.D. 2000-Jan-10 07:12:00.0000,  7.659383663326108E-01, -8.719174789027777E-01, -3.000270693086871E-02,  1.506196467222174E-02,  7.640668695801553E-03, -3.561014745361373E-04,
2451553.900000000, A.D. 2000-Jan-10 09:36:00.0000,  7.674438364892858E-01, -8.711525961758041E-01, -3.003828870249618E-02,  1.504743643647701E-02,  7.656980433879520E-03, -3.555339515661227E-04,
2451554.000000000, A.D. 2000-Jan-10 12:00:00.0000,  7.689478532161054E-01, -8.703860838975724E-01, -3.007381371992186E-02,  1.503289608678336E-02,  7.673259724884000E-03, -3.549663907973479E-04,
2451554.100000000, A.D. 2000-Jan-10 14:24:00.0000,  7.704504153051764E-01, -8.696179453116094E-01, -3.010928197945463E-02,  1.501834369308063E-02,  7.689506592415397E-03, -3.543987939962770E-04,
2451554.200000000, A.D. 2000-Jan-10 16:48:00.0000,  7.719515215555803E-01, -8.688481836590813E-01, -3.014469347757876E-02,  1.500377932511709E-02,  7.705721060186219E-03, -3.538311629228612E-04,
2451554.300000000, A.D. 2000-Jan-10 19:12:00.0000,  7.734511707733772E-01, -8.680768021787697E-01, -3.018004821095529E-02,  1.498920305244931E-02,  7.721903152020483E-03, -3.532634993305465E-04,
2451554.400000000, A.D. 2000-Jan-10 21:36:00.0000,  7.749493617715599E-01, -8.673038041070769E-01, -3.021534617641923E-02,  1.497461494444263E-02,  7.738052891852560E-03, -3.526958049662937E-04,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  7.764460933700578E-01, -8.665291926779993E-01, -3.025058737098078E-02,  1.496001507027110E-02,  7.754170303726600E-03, -3.521280815705842E-04,
2451554.600000000, A.D. 2000-Jan-11 02:24:00.0000,  7.779413643957088E-01, -8.657529711231248E-01, -3.028577179182344E-02,  1.494540349891769E-02,  7.770255411795566E-03, -3.515603308774356E-04,
